大崎,0
五反田,1
目黒,2
恵比寿,3
渋谷,4
原宿,5
代々木,6
新宿,7
新大久保,8
高田馬場,9
目白,10
池袋,11
大塚,12
巣鴨,13
駒込,14
田端,15
西日暮里,16
日暮里,17
鶯谷,18
上野,19
御徒町,20
秋葉原,21
神田,22
東京,23
有楽町,24
新橋,25
浜松町,26
田町,27
品川,28
大崎,29
