FileType,OuDia.JikokuhyouCsv.1
[全日]2018.3/17改正
下り

列車番号,,4321D,321D,1361D,323D,1321D,51D,1323D,1363D,3321D,325D,1325D,61D,4327D,327D,3323D,1365D,329D,3325D,331D,1367D,63D,3327D,333D,335D
列車種別,,,,,,,特急,,,快速,,,特急,,,快速,,,快速,,,特急,快速,,
列車名,,,,,,,宗谷,,,なよろ,,,サロベツ,,,なよろ,,,なよろ,,,サロベツ,なよろ,,
    ｜  歌          内,発,619,952,,,, ﾚ,,,,,, ﾚ,1753,,,,,,,, ﾚ,,,
    ｜  問    寒    別,発,626,959,,,, ﾚ,,,,,, ﾚ,1759,,,,,,,, ﾚ,,,
    ｜  糠          南,発,629,1002,,,, ﾚ,,,,,, ﾚ,1803,,,,,,,, ﾚ,,,
    ◇  雄    信    内,発,640,1010,,,, ﾚ,,,,,, ﾚ,1810,,,,,,,, ﾚ,,,
    ｜  安          牛,発,646,1016,,,, ﾚ,,,,,, ﾚ,1817,,,,,,,, ﾚ,,,
    ｜  南    幌    延,発,649,1020,,,, ﾚ,,,,,, ﾚ,1821,,,,,,,, ﾚ,,,
    ｜  上    幌    延,発,654,1024,,,, ﾚ,,,,,, ﾚ,1825,,,,,,,, ﾚ,,,
    ◇  幌          延,着,659,1031,,,,1145,,,,,,1626,1831,,,,,,,,2252,,,
    ◇  幌          延,発,700,1053,,,,1145,,,,,,1627,1841,,,,,,,,2253,,,
    ｜  下          沼,発,707,1101,,,, ﾚ,,,,,, ﾚ,1849,,,,,,,, ﾚ,,,
    ◇  豊          富,発,718,1116,,,,1159,,,,,,1641,1858,,,,,,,,2307,,,
    ｜  徳          満,発,724,1122,,,, ﾚ,,,,,, ﾚ,1904,,,,,,,, ﾚ,,,
    ◇  兜          沼,発,734,1132,,,, ﾚ,,,,,, ﾚ,1914,,,,,,,, ﾚ,,,
    ｜  勇          知,発,741,1139,,,, ﾚ,,,,,, ﾚ,1921,,,,,,,, ﾚ,,,
    ◇  抜          海,発,751,1149,,,, ﾚ,,,,,, ﾚ,1930,,,,,,,, ﾚ,,,
    ◇  南    稚    内,発,805,1203,,,,1236,,,,,,1717,1944,,,,,,,,2343,,,
    ｜  稚          内,着,809,1207,,,,1240,,,,,,1721,1949,,,,,,,,2347,,,
備考,,,(名寄から4323D・幌延から4325D),,,【休日運休】,,,,,,,,(音威子府から4331D),(名寄から4329D),,,,(名寄から4333D),,,,,,
